"GeneID" "Cluster" "Name"
"490" "YBR219C" "insignificant" ""
"491" "YBR220C" "insignificant" ""
"492" "YBR221C" "insignificant" "PDB1"
"493" "YBR221W-A" "insignificant" ""
"494" "YBR222C" "insignificant" "PCS60"
"495" "YBR223C" "insignificant" "TDP1"
"496" "YBR223W-A" "insignificant" ""
"497" "YBR224W" "insignificant" ""
"498" "YBR225W" "insignificant" ""
"499" "YBR227C" "insignificant" "MCX1"
"500" "YBR228W" "insignificant" "SLX1"
"501" "YBR229C" "insignificant" "ROT2"
"502" "YBR230C" "insignificant" "OM14"
"503" "YBR230W-A" "insignificant" ""
"504" "YBR231C" "insignificant" "SWC5"
"505" "YBR232C" "insignificant" ""
"506" "YBR233W" "insignificant" "PBP2"
"507" "YBR233W-A" "insignificant" "DAD3"
"508" "YBR234C" "insignificant" "ARC40"
"509" "YBR235W" "insignificant" "VHC1"
"510" "YBR236C" "insignificant" "ABD1"
"511" "YBR237W" "insignificant" "PRP5"
"512" "YBR238C" "insignificant" ""
"513" "YBR239C" "insignificant" "ERT1"
"514" "YBR240C" "insignificant" "THI2"
"515" "YBR241C" "cluster6" ""
"516" "YBR242W" "insignificant" ""
"517" "YBR243C" "insignificant" "ALG7"
"518" "YBR244W" "insignificant" "GPX2"
"519" "YBR245C" "insignificant" "ISW1"
"520" "YBR246W" "insignificant" "RRT2"
"521" "YBR247C" "insignificant" "ENP1"
"522" "YBR248C" "insignificant" "HIS7"
"523" "YBR249C" "insignificant" "ARO4"
"524" "YBR250W" "insignificant" "SPO23"
"525" "YBR251W" "insignificant" "MRPS5"
"526" "YBR252W" "insignificant" "DUT1"
"527" "YBR253W" "insignificant" "SRB6"
"528" "YBR254C" "insignificant" "TRS20"
"529" "YBR255C-A" "insignificant" "RCF3"
"530" "YBR255W" "insignificant" "MTC4"
"531" "YBR256C" "insignificant" "RIB5"
"532" "YBR257W" "insignificant" "POP4"
"533" "YBR258C" "insignificant" "SHG1"
"534" "YBR259W" "insignificant" ""
"535" "YBR260C" "insignificant" "RGD1"
"536" "YBR261C" "insignificant" "TAE1"
"537" "YBR262C" "insignificant" "MIC12"
"538" "YBR263W" "insignificant" "SHM1"
"539" "YBR264C" "insignificant" "YPT10"
"540" "YBR265W" "insignificant" "TSC10"
"541" "YBR266C" "insignificant" "SLM6"
"542" "YBR267W" "insignificant" "REI1"
"543" "YBR268W" "insignificant" "MRPL37"
"544" "YBR269C" "cluster2" "SDH8"
"545" "YBR270C" "insignificant" "BIT2"
"546" "YBR271W" "insignificant" "EFM2"
"547" "YBR272C" "insignificant" "HSM3"
"548" "YBR273C" "insignificant" "UBX7"
"549" "YBR274W" "insignificant" "CHK1"
"550" "YBR275C" "insignificant" "RIF1"
"551" "YBR276C" "insignificant" "PPS1"
"552" "YBR277C" "insignificant" ""
"553" "YBR278W" "insignificant" "DPB3"
"554" "YBR279W" "insignificant" "PAF1"
"555" "YBR280C" "cluster2" "SAF1"
"556" "YBR281C" "insignificant" "DUG2"
"557" "YBR282W" "insignificant" "MRPL27"
"558" "YBR283C" "insignificant" "SSH1"
"559" "YBR284W" "insignificant" ""
"560" "YBR285W" "insignificant" ""
"561" "YBR286W" "insignificant" "APE3"
"562" "YBR287W" "cluster2" ""
"563" "YBR288C" "insignificant" "APM3"
"564" "YBR289W" "insignificant" "SNF5"
"565" "YBR290W" "insignificant" "BSD2"
"566" "YBR291C" "insignificant" "CTP1"
"567" "YBR292C" "insignificant" ""
"568" "YBR293W" "insignificant" "VBA2"
"569" "YBR294W" "insignificant" "SUL1"
"570" "YBR295W" "insignificant" "PCA1"
"571" "YBR296C" "insignificant" "PHO89"
"572" "YBR296C-A" "insignificant" ""
"573" "YBR297W" "insignificant" "MAL33"
"574" "YBR298C" "insignificant" "MAL31"
"575" "YBR298C-A" "insignificant" ""
"576" "YBR299W" "insignificant" "MAL32"
"577" "YBR300C" "insignificant" ""
"578" "YBR301W" "insignificant" "PAU24"
"579" "YBR302C" "insignificant" "COS2"
"580" "YCL001W" "insignificant" "RER1"
"581" "YCL001W-A" "insignificant" ""
"582" "YCL001W-B" "insignificant" ""
"583" "YCL002C" "insignificant" ""
"584" "YCL004W" "insignificant" "PGS1"
"585" "YCL005W" "insignificant" "LDB16"
"586" "YCL005W-A" "insignificant" "VMA9"
"587" "YCL007C" "insignificant" ""
"588" "YCL008C" "insignificant" "STP22"
"589" "YCL009C" "insignificant" "ILV6"
"590" "YCL010C" "insignificant" "SGF29"
"591" "YCL011C" "insignificant" "GBP2"
"592" "YCL012C" "insignificant" ""
"593" "YCL014W" "insignificant" "BUD3"
"594" "YCL016C" "insignificant" "DCC1"
"595" "YCL017C" "insignificant" "NFS1"
"596" "YCL018W" "insignificant" "LEU2"
"597" "YCL019W" "insignificant" NA
"598" "YCL021W-A" "insignificant" ""
"599" "YCL022C" "insignificant" ""
"600" "YCL023C" "insignificant" ""
"601" "YCL024W" "insignificant" "KCC4"
"602" "YCL025C" "insignificant" "AGP1"
"603" "YCL026C-A" "cluster7" "FRM2"
"604" "YCL026C-B" "insignificant" "HBN1"
"605" "YCL027W" "insignificant" "FUS1"
"606" "YCL028W" "insignificant" "RNQ1"
"607" "YCL029C" "insignificant" "BIK1"
"608" "YCL030C" "insignificant" "HIS4"
"609" "YCL031C" "insignificant" "RRP7"
"610" "YCL032W" "insignificant" "STE50"
"611" "YCL033C" "insignificant" "MXR2"
"612" "YCL034W" "insignificant" "LSB5"
"613" "YCL035C" "insignificant" "GRX1"
"614" "YCL036W" "insignificant" "GFD2"
"615" "YCL037C" "insignificant" "SRO9"
"616" "YCL038C" "insignificant" "ATG22"
"617" "YCL039W" "insignificant" "GID7"
"618" "YCL040W" "insignificant" "GLK1"
"619" "YCL041C" "insignificant" ""
"620" "YCL042W" "insignificant" ""
"621" "YCL043C" "insignificant" "PDI1"
"622" "YCL044C" "insignificant" "MGR1"
"623" "YCL045C" "insignificant" "EMC1"
"624" "YCL046W" "insignificant" ""
"625" "YCL047C" "insignificant" "POF1"
"626" "YCL048W" "insignificant" "SPS22"
